Title,Subtitle,Narrated By,Series,Length,Release Date,Language,Ratings
YouTube Secrets,The Ultimate Guide to Growing Your Following and Making Money as a Video Influencer,"Narrated by: Sean Cannell, Benji Travis",,Length: 5 hrs and 29 mins,Release date: 03-28-19,Language: English,"4.5 out of 5 stars
1,153 ratings"
Project Management for the Unofficial Project Manager,A FranklinCovey Title,Narrated by: Teri Schnaubelt,,Length: 4 hrs and 46 mins,Release date: 07-29-19,Language: English,"4.5 out of 5 stars
331 ratings"
Why the Rich Are Getting Richer,,Narrated by: Scott Merriman,,Length: 6 hrs and 42 mins,Release date: 11-27-18,Language: English,"4.5 out of 5 stars
1,662 ratings"
State and Revolution,,Narrated by: Chris Matthews,,Length: 4 hrs and 4 mins,Release date: 05-23-19,Language: English,"4.5 out of 5 stars
312 ratings"
Everyday Millionaires,,Narrated by: Chris Hogan,,Length: 6 hrs and 58 mins,Release date: 12-27-18,Language: English,"4.5 out of 5 stars
4,016 ratings"
The Logic of Sports Betting,,Narrated by: Paul Thomas,,Length: 6 hrs and 41 mins,Release date: 09-12-19,Language: English,"4.5 out of 5 stars
200 ratings"
Investing for Passive Income,"Get Up to 10% Dividends Each Year and Make Money for Retirement with Dividend Growth Stocks, MLPs and REITs",Narrated by: Mark Greenberg,,Length: 10 hrs and 9 mins,Release date: 02-27-23,Language: English,"5 out of 5 stars
16 ratings"
The Psychology of Selling and Persuasion,"Learn the Real Techniques to Close the Sale Every Time Using Proven Principles of Psychology, Manipulation, and Persuasion",Narrated by: KC Wayman,,Length: 3 hrs and 27 mins,Release date: 07-09-19,Language: English,"4.5 out of 5 stars
35 ratings"
If You Can't Wholesale After This,I've Got Nothing for You,Narrated by: Timothy Pell,,Length: 3 hrs and 50 mins,Release date: 02-22-19,Language: English,"5 out of 5 stars
1,067 ratings"
Traffic Secrets,The Underground Playbook for Filling Your Websites and Funnels with Your Dream Customers,Narrated by: Russell Brunson,,Length: 6 hrs and 58 mins,Release date: 06-23-20,Language: English,"5 out of 5 stars
818 ratings"
The Protestant Ethic and the Spirit of Capitalism,,Narrated by: Monroe Clark McBride,,Length: 5 hrs and 17 mins,Release date: 08-28-17,Language: English,"4.5 out of 5 stars
124 ratings"
Rich Dad Advisors: Tax-Free Wealth,How to Build Massive Wealth by Permanently Lowering Your Taxes,Narrated by: Tom Wheelwright CPA,,Length: 8 hrs and 59 mins,Release date: 04-02-19,Language: English,"5 out of 5 stars
2,720 ratings"
The World in a Grain,The Story of Sand and How It Transformed Civilization,Narrated by: Will Damron,,Length: 8 hrs and 49 mins,Release date: 08-07-18,Language: English,"4.5 out of 5 stars
306 ratings"
Bitter Brew,The Rise and Fall of Anheuser-Busch and America's Kings of Beer,Narrated by: Peter Berkrot,,Length: 12 hrs and 12 mins,Release date: 11-06-12,Language: English,"4.5 out of 5 stars
698 ratings"
God's Bankers,A History of Money and Power at the Vatican,Narrated by: Tom Parks,,Length: 21 hrs and 53 mins,Release date: 04-17-15,Language: English,"4 out of 5 stars
463 ratings"
"The Black Swan, Second Edition: The Impact of the Highly Improbable: With a new section: ""On Robustness and Fragility""","Incerto, Book 2",Narrated by: Joe Ochman,,Length: 15 hrs and 48 mins,Release date: 01-08-19,Language: English,"4.5 out of 5 stars
1,939 ratings"
Tribe of Millionaires: What If One Choice Could Change Everything?,,Narrated by: Mike Sheriff,,Length: 4 hrs and 9 mins,Release date: 09-23-19,Language: English,"5 out of 5 stars
370 ratings"
Blue-Collar Cash,"Love Your Work, Secure Your Future, and Find Happiness for Life",Narrated by: Roger Wayne,,Length: 7 hrs and 17 mins,Release date: 07-28-20,Language: English,"5 out of 5 stars
36 ratings"
"Building Wealth One House at a Time: Updated and Expanded, Second Edition",,Narrated by: Scott R. Pollak,,Length: 8 hrs and 2 mins,Release date: 10-30-19,Language: English,"4.5 out of 5 stars
305 ratings"
The Founder's Dilemmas,,Narrated by: Mark Mosely,,Length: 13 hrs and 28 mins,Release date: 09-21-12,Language: English,"4.5 out of 5 stars
708 ratings"
The Great Mental Models,General Thinking Concepts,Narrated by: Shane Parrish,"Series: The Great Mental Models, Book 1",Length: 3 hrs and 23 mins,Release date: 04-09-19,Language: English,"4.5 out of 5 stars
1,556 ratings"
The Tax and Legal Playbook,"Game-Changing Solutions To Your Small Business Questions, 2nd Edition",Narrated by: Christopher Grove,,Length: 10 hrs and 9 mins,Release date: 07-30-19,Language: English,"4.5 out of 5 stars
187 ratings"
Finish Big,How Great Entrepreneurs Exit Their Companies on Top,Narrated by: Sean Pratt,,Length: 10 hrs and 17 mins,Release date: 11-28-14,Language: English,"4.5 out of 5 stars
153 ratings"
"Through the Eye of a Needle: Wealth, the Fall of Rome, and the Making of Christianity in the West, 350-550 AD",,Narrated by: Fleet Cooper,,Length: 31 hrs and 15 mins,Release date: 09-19-12,Language: English,"4 out of 5 stars
254 ratings"
In the Plex,"How Google Thinks, Works, and Shapes Our Lives",Narrated by: L. J. Ganser,,Length: 19 hrs and 45 mins,Release date: 04-12-11,Language: English,"4.5 out of 5 stars
5,250 ratings"
The Prize,"The Epic Quest for Oil, Money & Power",Narrated by: Bob Jamieson,,Length: 2 hrs and 51 mins,Release date: 09-26-08,Language: English,"4 out of 5 stars
764 ratings"
The Dreamt Land,Chasing Water and Dust Across California,Narrated by: Mark Arax,,Length: 25 hrs and 32 mins,Release date: 05-21-19,Language: English,"4.5 out of 5 stars
232 ratings"
Prediction Machines,The Simple Economics of Artificial Intelligence,Narrated by: LJ Ganser,,Length: 7 hrs and 50 mins,Release date: 08-21-18,Language: English,"4.5 out of 5 stars
1,236 ratings"
Risky Business,Why Insurance Markets Fail and What to Do About It,Narrated by: Alex Boyles,,Length: 7 hrs and 27 mins,Release date: 01-31-23,Language: English,"3.5 out of 5 stars
3 ratings"
I Will Teach You to Be Rich,No Guilt. No Excuses. No B.S. Just a 6-Week Program That Works (Second Edition),Narrated by: Ramit Sethi,,Length: 12 hrs and 8 mins,Release date: 05-14-19,Language: English,"4.5 out of 5 stars
8,344 ratings"
Sources of Power,How People Make Decisions (The MIT Press),Narrated by: Mike Fraser,,Length: 13 hrs and 10 mins,Release date: 12-11-20,Language: English,"4.5 out of 5 stars
83 ratings"
The Box,How the Shipping Container Made the World Smaller and the World Economy Bigger,Narrated by: Adam Lofbomm,,Length: 12 hrs and 20 mins,Release date: 01-30-14,Language: English,"4.5 out of 5 stars
641 ratings"
The Only Game in Town,"Central Banks, Instability, and Avoiding the Next Collapse",Narrated by: Dan Woren,,Length: 9 hrs and 15 mins,Release date: 03-29-16,Language: English,"4 out of 5 stars
272 ratings"
Freelance Your Way to Freedom,How to Free Yourself from the Corporate World and Build the Life of Your Dreams,Narrated by: Jenny Rich,,Length: 6 hrs and 35 mins,Release date: 12-27-22,Language: English,"4.5 out of 5 stars
12 ratings"
El código del dinero,,Narrated by: José Luis Palomera de la Reé,,Length: 4 hrs and 5 mins,Release date: 03-28-22,Language: Spanish,"5 out of 5 stars
100 ratings"
A Splendid Exchange,How Trade Shaped the World,Narrated by: Mel Foster,,Length: 17 hrs and 13 mins,Release date: 05-09-08,Language: English,"4.5 out of 5 stars
378 ratings"
Charlie Munger,The Complete Investor,Narrated by: Fred Stella,,Length: 6 hrs and 21 mins,Release date: 09-15-15,Language: English,"4.5 out of 5 stars
1,651 ratings"
Overwhelmed,"Work, Love, and Play When No One Has the Time",Narrated by: Tavia Gilbert,,Length: 12 hrs and 6 mins,Release date: 04-17-14,Language: English,"4 out of 5 stars
365 ratings"
Retire Before Mom and Dad,The Simple Numbers Behind a Lifetime of Financial Freedom,Narrated by: Rob Berger,,Length: 6 hrs and 43 mins,Release date: 09-13-19,Language: English,"4.5 out of 5 stars
310 ratings"
The Greatest Trade Ever,The Behind-the-Scenes Story of How John Paulson Defied Wall Street and Made Financial History,Narrated by: Marc Cashman,,Length: 11 hrs and 40 mins,Release date: 11-03-09,Language: English,"4.5 out of 5 stars
788 ratings"
Best Ever Apartment Syndication Book,,Narrated by: Colleen Patrick,,Length: 12 hrs and 12 mins,Release date: 08-02-19,Language: English,"4.5 out of 5 stars
171 ratings"
The Emigrant Edge,How to Make It Big in America,"Narrated by: Fred Sanders, Brian Buffini",,Length: 7 hrs and 10 mins,Release date: 08-01-17,Language: English,"5 out of 5 stars
455 ratings"
The Thank You Economy,,Narrated by: Gary Vaynerchuk,,Length: 5 hrs and 41 mins,Release date: 06-28-11,Language: English,"4.5 out of 5 stars
2,857 ratings"
Capital: Volume 1,A Critique of Political Economy,Narrated by: Derek Le Page,,Length: 43 hrs and 4 mins,Release date: 03-01-18,Language: English,"4.5 out of 5 stars
330 ratings"
¡Sálvese quien pueda! [Every Man for Himself!],,"Narrated by: Andrés Oppenheimer, Noé Velázquez",,Length: 13 hrs and 12 mins,Release date: 10-10-18,Language: Spanish,"5 out of 5 stars
706 ratings"
"Hustle Harder, Hustle Smarter",,"Narrated by: Curtis ""50 Cent"" Jackson",,Length: 8 hrs and 16 mins,Release date: 04-28-20,Language: English,"5 out of 5 stars
17,942 ratings"
"A Happy Pocket Full of Money, Expanded Study Edition",Infinite Wealth and Abundance in the Here and Now,Narrated by: John Wayne Myers,,Length: 7 hrs and 7 mins,Release date: 04-16-21,Language: English,"5 out of 5 stars
530 ratings"
University of Berkshire Hathaway,30 Years of Lessons Learned from Warren Buffett & Charlie Munger at the Annual Shareholders Meeting,Narrated by: Tom Parks,,Length: 12 hrs and 21 mins,Release date: 12-18-18,Language: English,"4.5 out of 5 stars
789 ratings"
The 100-Year Life,Living and Working in an Age of Longevity,Narrated by: Mark Meadows,,Length: 9 hrs and 48 mins,Release date: 11-22-16,Language: English,"4 out of 5 stars
165 ratings"
Narrative Economics,How Stories Go Viral and Drive Major Economic Events,"Narrated by: Susan Osman, Robert J. Shiller - introduction",,Length: 11 hrs and 7 mins,Release date: 10-01-19,Language: English,"4 out of 5 stars
436 ratings"
Thinking Strategically,"The Competitive Edge in Business, Politics, and Everyday Life",Narrated by: Mark Delgado,,Length: 10 hrs and 24 mins,Release date: 05-07-13,Language: English,"3.5 out of 5 stars
167 ratings"
Risk,A User's Guide,Narrated by: General Stanley McChrystal,,Length: 10 hrs and 40 mins,Release date: 10-05-21,Language: English,"4.5 out of 5 stars
233 ratings"
Raising Private Capital: Building Your Real Estate Empire Using Other People's Money,,Narrated by: Randy Streu,,Length: 6 hrs and 27 mins,Release date: 08-03-18,Language: English,"4.5 out of 5 stars
715 ratings"
"The Due Diligence Handbook for Commercial Real Estate: A Proven System to Save Time, Money, Headaches and Create Value When Buying Commercial Real Estate",,Narrated by: Troy W. Hudson,,Length: 2 hrs and 53 mins,Release date: 05-02-18,Language: English,"4.5 out of 5 stars
137 ratings"
Nothing Down for the 2000s,Dynamic New Wealth Strategies in Real Estate,Narrated by: John Dossett,,Length: 4 hrs and 22 mins,Release date: 09-19-07,Language: English,"4.5 out of 5 stars
156 ratings"
Smart Couples Finish Rich,,Narrated by: David Bach,,Length: 3 hrs and 5 mins,Release date: 03-26-01,Language: English,"4.5 out of 5 stars
454 ratings"
The Money Game,,Narrated by: David Rapkin,,Length: 7 hrs and 5 mins,Release date: 08-04-15,Language: English,"4 out of 5 stars
249 ratings"
Pound Foolish,Exposing the Dark Side of the Personal Finance Industry,Narrated by: Lyn Landon,,Length: 9 hrs and 1 min,Release date: 02-19-13,Language: English,"4 out of 5 stars
214 ratings"
How to Stop Worrying and Start Living,Time-Tested Methods for Conquering Worry,Narrated by: Andrew MacMillan,,Length: 10 hrs and 8 mins,Release date: 01-30-07,Language: English,"4.5 out of 5 stars
7,550 ratings"
The Book on Flipping Houses,"How to Buy, Rehab, and Resell Residential Properties",Narrated by: Randy Streu,,Length: 8 hrs and 45 mins,Release date: 01-03-19,Language: English,"5 out of 5 stars
870 ratings"
La ganancia es primero [Profit First],Transforma tu negocio en una máquina de hacer dinero y logra una rentabilidad inmediata [Transform Your Business from a Cash-Eating Monster to a Money-Making Machine],"Narrated by: Sofía Macías, Carlos Monroy",,Length: 7 hrs and 44 mins,Release date: 05-10-18,Language: Spanish,"5 out of 5 stars
421 ratings"
Mastering the Market Cycle,Getting the Odds on Your Side,"Narrated by: LJ Ganser, Howard Marks",,Length: 9 hrs and 39 mins,Release date: 10-02-18,Language: English,"4.5 out of 5 stars
1,181 ratings"
The Bogleheads' Guide to Investing,Second Edition,Narrated by: Barry Abrams,,Length: 10 hrs and 3 mins,Release date: 07-24-19,Language: English,"4.5 out of 5 stars
448 ratings"
Why We Want You to Be Rich,"Two Men, One Message","Narrated by: John Dossett, Skipp Sudduth",,Length: 5 hrs and 34 mins,Release date: 09-25-06,Language: English,"4.5 out of 5 stars
1,803 ratings"
Thou Shall Prosper,"Ten Commandments for Making Money, 2nd Edition",Narrated by: A.C. Fellner,,Length: 17 hrs and 53 mins,Release date: 07-17-20,Language: English,"5 out of 5 stars
629 ratings"
Taking Stock,"A Hospice Doctor's Advice on Financial Independence, Building Wealth, and Living a Regret-Free Life","Narrated by: Jordan Grumet MD, Vicki Robin",,Length: 5 hrs and 51 mins,Release date: 08-09-22,Language: English,"5 out of 5 stars
125 ratings"
Getting (More of) What You Want,"How the Secrets of Economics and Psychology Can Help You Negotiate Anything, in Business and in Life",Narrated by: Derek Shetterley,,Length: 9 hrs and 5 mins,Release date: 07-21-15,Language: English,"4 out of 5 stars
46 ratings"
The Big Con,"How the Consulting Industry Weakens Our Businesses, Infantilizes Our Governments and Warps Our Economies",Narrated by: Amy Finegan,,Length: 8 hrs and 56 mins,Release date: 02-23-23,Language: English,"4 out of 5 stars
3 ratings"
Finding and Funding Great Deals,The Hands-On Guide to Acquiring Real Estate in Any Market,Narrated by: Anson Young,,Length: 8 hrs and 47 mins,Release date: 08-22-17,Language: English,"4.5 out of 5 stars
582 ratings"
"The Road to Serfdom, the Definitive Edition",Text and Documents,Narrated by: William Hughes,,Length: 11 hrs and 45 mins,Release date: 06-20-17,Language: English,"5 out of 5 stars
1,554 ratings"
"Trend Following, 5th Edition","How to Make a Fortune in Bull, Bear and Black Swan Markets","Narrated by: Joel Richards, Michael Covel",,Length: 34 hrs and 18 mins,Release date: 06-23-17,Language: English,"4 out of 5 stars
213 ratings"
The Automatic Millionaire,A Powerful One-Step Plan to Live and Finish Rich,Narrated by: David Bach,,Length: 4 hrs and 56 mins,Release date: 06-09-04,Language: English,"4.5 out of 5 stars
1,853 ratings"
The Bullish Case for Bitcoin,,Narrated by: Vijay Boyapati,,Length: 2 hrs and 24 mins,Release date: 01-21-22,Language: English,"5 out of 5 stars
176 ratings"
The Anatomy of the State (LvMI),,Narrated by: John Riddle,,Length: 57 mins,Release date: 11-08-19,Language: English,"4.5 out of 5 stars
507 ratings"
Commercial Real Estate for Beginners,The Basics of Commercial Real Estate Investing,Narrated by: Peter Harris,,Length: 2 hrs and 33 mins,Release date: 10-10-22,Language: English,"4.5 out of 5 stars
12 ratings"
Mediocre,The Dangerous Legacy of White Male America,Narrated by: Ijeoma Oluo,,Length: 10 hrs and 1 min,Release date: 12-01-20,Language: English,"5 out of 5 stars
1,351 ratings"
Dead in the Water,"A True Story of Hijacking, Murder, and a Global Maritime Conspiracy",Narrated by: Derek Perkins,,Length: 9 hrs and 22 mins,Release date: 05-03-22,Language: English,"4.5 out of 5 stars
334 ratings"
The Tyranny of Merit,What's Become of the Common Good?,Narrated by: Michael J. Sandel,,Length: 11 hrs and 17 mins,Release date: 09-15-20,Language: English,"4.5 out of 5 stars
853 ratings"
Stop Acting Rich,And Start Living Like a Real Millionaire,Narrated by: Fred Stella,,Length: 8 hrs and 26 mins,Release date: 09-28-09,Language: English,"4.5 out of 5 stars
1,082 ratings"
Cryptocurrency Investing for Dummies,,Narrated by: Wendy Tremont King,,Length: 12 hrs and 36 mins,Release date: 07-28-20,Language: English,"4 out of 5 stars
110 ratings"
The Private Equity Playbook,Management's Guide to Working with Private Equity,Narrated by: Ron Butler,,Length: 3 hrs and 33 mins,Release date: 09-10-19,Language: English,"4.5 out of 5 stars
368 ratings"
The Wealth Choice,Success Secrets of Black Millionaires,Narrated by: Bill Andrew Quinn,,Length: 12 hrs and 1 min,Release date: 06-11-19,Language: English,"5 out of 5 stars
888 ratings"
The Other Side of Prospect,"A Story of Violence, Injustice, and the American City",Narrated by: Diontae Black,,Length: 17 hrs and 27 mins,Release date: 11-08-22,Language: English,"5 out of 5 stars
11 ratings"
The Real Book of Real Estate,Real Experts. Real Stories. Real Life.,"Narrated by: Mel Foster, Joyce Bean, Mikael Naramore",,Length: 17 hrs and 53 mins,Release date: 11-08-16,Language: English,"4.5 out of 5 stars
1,458 ratings"
The Shock Doctrine,The Rise of Disaster Capitalism,Narrated by: Jennifer Wiltsie,,Length: 9 hrs and 2 mins,Release date: 09-21-07,Language: English,"4.5 out of 5 stars
1,937 ratings"
6 Steps to 7 Figures,A Real Estate Professional's Guide to Building Wealth,Narrated by: Desmond Manny,,Length: 4 hrs and 55 mins,Release date: 09-22-22,Language: English,"5 out of 5 stars
17 ratings"
Free Market,The History of an Idea,Narrated by: Craig Van Ness,,Length: 9 hrs and 9 mins,Release date: 11-15-22,Language: English,"4.5 out of 5 stars
6 ratings"
Tangled Vines,"Greed, Murder, Obsession, and an Arsonist in the Vineyards of California",Narrated by: Dina Pearlman,,Length: 9 hrs and 33 mins,Release date: 05-10-16,Language: English,"4 out of 5 stars
169 ratings"
Geopolitical Alpha,An Investment Framework for Predicting the Future,Narrated by: Brian Arens,,Length: 7 hrs and 52 mins,Release date: 07-20-22,Language: English,"4.5 out of 5 stars
38 ratings"
Scam Me If You Can,Simple Strategies to Outsmart Today's Rip-off Artists,Narrated by: Jason Culp,,Length: 9 hrs and 11 mins,Release date: 08-27-19,Language: English,"4.5 out of 5 stars
151 ratings"
From Nothing,"Everything You Need to Profit from Affiliate Marketing, Internet Marketing, Blogging, Online Business, e-Commerce and More... Starting with <$100",Narrated by: Roberto Scarlato,,Length: 6 hrs and 51 mins,Release date: 10-04-19,Language: English,"4.5 out of 5 stars
48 ratings"
The Price of Time,The Real Story of Interest,Narrated by: Luis Soto,,Length: 15 hrs and 35 mins,Release date: 07-07-22,Language: English,"4.5 out of 5 stars
15 ratings"
Rich Dad Poor Dad,What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!,Narrated by: Tim Wheeler,Series: Rich Dad Series,Length: 6 hrs and 9 mins,Release date: 06-15-12,Language: English,"5 out of 5 stars
76,646 ratings"
FAKE,"Fake Money, Fake Teachers, Fake Assets: How Lies Are Making the Poor and Middle Class Poorer",Narrated by: William LeRoy,,Length: 12 hrs and 43 mins,Release date: 05-28-19,Language: English,"4.5 out of 5 stars
2,750 ratings"
Phishing for Phools,The Economics of Manipulation and Deception,Narrated by: Bronson Pinchot,,Length: 7 hrs and 11 mins,Release date: 02-09-16,Language: English,"4 out of 5 stars
343 ratings"
The Proximity Principle,The Proven Strategy That Will Lead to a Career You Love,Narrated by: Ken Coleman,,Length: 4 hrs and 3 mins,Release date: 05-16-19,Language: English,"4.5 out of 5 stars
1,347 ratings"
A Colossal Failure of Common Sense,The Inside Story of the Collapse of Lehman Brothers,Narrated by: Erik Davies,,Length: 16 hrs and 38 mins,Release date: 07-21-09,Language: English,"4.5 out of 5 stars
324 ratings"
The 40 Day Prosperity Plan,,Narrated by: John Randolph Price,,Length: 1 hr and 5 mins,Release date: 03-27-06,Language: English,"4.5 out of 5 stars
319 ratings"
The Frackers,The Outrageous Inside Story of the New Billionaire Wildcatters,Narrated by: Sean Pratt,,Length: 15 hrs and 15 mins,Release date: 11-05-13,Language: English,"4.5 out of 5 stars
845 ratings"
The Ultimate Retirement Guide for 50+,Winning Strategies to Make Your Money Last a Lifetime,Narrated by: Suze Orman,,Length: 12 hrs and 31 mins,Release date: 02-25-20,Language: English,"5 out of 5 stars
663 ratings"
Bachelor Pad Economics,The Financial Advice Bible for Men,Narrated by: Davis Aurini,,Length: 10 hrs and 58 mins,Release date: 05-10-16,Language: English,"4.5 out of 5 stars
757 ratings"
Behind the Cloud,The Untold Story of How Salesforce.com Went from Idea to Billion-Dollar Company - and Revolutionized an Industry,Narrated by: Ax Norman,,Length: 7 hrs and 54 mins,Release date: 07-09-20,Language: English,"4.5 out of 5 stars
115 ratings"
Creative Cash,The Complete Guide to Master Lease Options and Seller Financing for Investing in Real Estate,Narrated by: Bill Ham,,Length: 4 hrs and 55 mins,Release date: 04-06-21,Language: English,"4.5 out of 5 stars
74 ratings"
After the Ivory Tower Falls,How College Broke the American Dream and Blew Up Our Politics—and How to Fix It,Narrated by: Fred Sanders,,Length: 11 hrs and 12 mins,Release date: 08-02-22,Language: English,"4.5 out of 5 stars
91 ratings"
Invested,"How Warren Buffett and Charlie Munger Taught Me to Master My Mind, My Emotions, and My Money (with a Little Help from My Dad)","Narrated by: Danielle Town, Phil Town",,Length: 10 hrs and 19 mins,Release date: 03-27-18,Language: English,"4.5 out of 5 stars
925 ratings"
The Book on Tax Strategies for the Savvy Real Estate Investor,"Powerful Techniques Anyone Can Use to Deduct More, Invest Smarter, and Pay Far Less to the IRS!",Narrated by: Randy Streu,,Length: 4 hrs and 55 mins,Release date: 12-13-18,Language: English,"5 out of 5 stars
1,055 ratings"
The Wisdom of Crowds,"Why the Many Are Smarter Than the Few and How Collective Wisdom Shapes Business, Economies, Societies and Nations",Narrated by: Grover Gardner,,Length: 9 hrs and 29 mins,Release date: 05-19-04,Language: English,"4 out of 5 stars
1,279 ratings"
How China Escaped Shock Therapy,The Market Reform Debate,Narrated by: Susan Ericksen,,Length: 16 hrs and 12 mins,Release date: 03-14-23,Language: English,Not rated yet
The Index Card,Why Personal Finance Doesn’t Have to Be Complicated,"Narrated by: Helaine Olen, Harold Pollack",,Length: 3 hrs and 43 mins,Release date: 01-05-16,Language: English,"4.5 out of 5 stars
396 ratings"
The Carrot Principle,,"Narrated by: Adrian Gostick, Chester Elton",,Length: 5 hrs and 25 mins,Release date: 11-30-10,Language: English,"4 out of 5 stars
194 ratings"
Closing the Equity Gap,Creating Wealth and Fostering Justice in Startup Investing,Narrated by: Keyonni James,,Length: 9 hrs and 12 mins,Release date: 03-14-23,Language: English,"5 out of 5 stars
1 rating"
The Looting Machine,"Warlords, Oligarchs, Corporations, Smugglers, and the Theft of Africa's Wealth",Narrated by: Grover Gardner,,Length: 11 hrs and 5 mins,Release date: 04-28-15,Language: English,"4.5 out of 5 stars
272 ratings"
The Evolution of Everything,How New Ideas Emerge,Narrated by: Steven Crossley,,Length: 13 hrs and 9 mins,Release date: 10-27-15,Language: English,"4.5 out of 5 stars
737 ratings"
The Power of the Other,"The Startling Effect Other People Have on You, from the Boardroom to the Bedroom and Beyond - and What to Do About It",Narrated by: George Newbern,,Length: 5 hrs and 51 mins,Release date: 05-03-16,Language: English,"4.5 out of 5 stars
1,295 ratings"
Chaos Monkeys - Revised Edition,Obscene Fortune and Random Failure in Silicon Valley,Narrated by: Dan John Miller,,Length: 16 hrs and 13 mins,Release date: 07-24-18,Language: English,"4.5 out of 5 stars
680 ratings"
The PEARSON VUE National Real Estate License Exam: Test Prep Guide (2018 Edition),,Narrated by: Roy Worley,,Length: 6 hrs and 47 mins,Release date: 09-26-18,Language: English,"4.5 out of 5 stars
135 ratings"
The Courage to Act,A Memoir of a Crisis and Its Aftermath,Narrated by: Grover Gardner,,Length: 22 hrs and 36 mins,Release date: 10-05-15,Language: English,"4.5 out of 5 stars
738 ratings"
The Instant Millionaire,A Tale of Wisdom and Wealth,Narrated by: Marc Allen,,Length: 2 hrs and 24 mins,Release date: 12-16-99,Language: English,"4.5 out of 5 stars
780 ratings"
"Capital: Volumes 1, 2, & 3",A Critique of Political Economy,Narrated by: Malk Williams,,Length: 104 hrs and 29 mins,Release date: 04-20-23,Language: English,Not rated yet
The Advanced Affiliate Marketing Playbook,"Learn Secrets from the Top Affiliate Marketers on How You Can Make Passive Income Online, Through Utilizing Amazon and Other Affiliate Programs Successfully!",Narrated by: Jonathan Ostrander,,Length: 3 hrs and 35 mins,Release date: 02-25-19,Language: English,"5 out of 5 stars
221 ratings"
Build to Last,,Narrated by: Keith Callahan,,Length: 3 hrs and 12 mins,Release date: 02-12-19,Language: English,"5 out of 5 stars
280 ratings"
One Good Trade,Inside the Highly Competitive World of Proprietary Trading,Narrated by: Kevin Foley,,Length: 15 hrs and 8 mins,Release date: 07-10-20,Language: English,"5 out of 5 stars
438 ratings"
The Bond King,"How One Man Made a Market, Built an Empire, and Lost It All",Narrated by: Mary Childs,,Length: 11 hrs and 16 mins,Release date: 03-15-22,Language: English,"4.5 out of 5 stars
485 ratings"
Launch (Updated & Expanded Edition),"How to Sell Almost Anything Online, Build a Business You Love, and Live the Life of Your Dreams",Narrated by: Jeff Walker,,Length: 9 hrs and 12 mins,Release date: 07-27-21,Language: English,"4.5 out of 5 stars
257 ratings"
How to Start a Vending Machine Business,The Complete Guide to Making Money Selling Products with Vending Machines. Learn How to Start This Business from Zero & How to Scale It Until Passive Income,Narrated by: Russell Newton,,Length: 5 hrs and 42 mins,Release date: 02-28-22,Language: English,"3.5 out of 5 stars
29 ratings"
Other People's Money,Inside the Housing Crisis and the Demise of the Greatest Real Estate Deal Ever Made,Narrated by: David Drummond,,Length: 12 hrs and 41 mins,Release date: 04-04-13,Language: English,"4.5 out of 5 stars
107 ratings"
Dethroning the King,"The Hostile Takeover of Anheuser-Busch, an American Icon",Narrated by: Joyce Bean,,Length: 12 hrs and 57 mins,Release date: 08-30-11,Language: English,"4.5 out of 5 stars
165 ratings"
"Jab, Jab, Jab, Right Hook",How to Tell Your Story in a Noisy Social World,Narrated by: John Hopkinsin,,Length: 6 hrs and 40 mins,Release date: 03-31-23,Language: English,"5 out of 5 stars
1 rating"
"Change Your Habits, Change Your Life",Strategies That Transformed 177 Average People into Self-Made Millionaires,Narrated by: Rich Grimshaw,,Length: 3 hrs and 46 mins,Release date: 04-26-16,Language: English,"4.5 out of 5 stars
524 ratings"
Options Trading Crash Course: 6 Books in 1,The #1 Beginner to Advanced Guide,Narrated by: Jon Lobb,,Length: 10 hrs and 19 mins,Release date: 03-06-23,Language: English,"5 out of 5 stars
51 ratings"
Business Adventures,Twelve Classic Tales from the World of Wall Street,Narrated by: Johnny Heller,,Length: 16 hrs and 53 mins,Release date: 08-19-14,Language: English,"4 out of 5 stars
1,351 ratings"
The New Map,"Energy, Climate, and the Clash of Nations",Narrated by: Robert Petkoff,,Length: 15 hrs and 48 mins,Release date: 09-15-20,Language: English,"4.5 out of 5 stars
896 ratings"
"Richer, Wiser, Happier",How the World's Greatest Investors Win in Markets and Life,Narrated by: Raphael Corkhill,,Length: 11 hrs and 33 mins,Release date: 04-20-21,Language: English,"5 out of 5 stars
1,493 ratings"
Elite Capture,How the Powerful Took Over Identity Politics (and Everything Else),Narrated by: Jaime Lincoln Smth,,Length: 3 hrs and 17 mins,Release date: 05-03-22,Language: English,"4.5 out of 5 stars
120 ratings"
The Great Crash 1929,,Narrated by: Brian Troxell,,Length: 6 hrs and 33 mins,Release date: 02-15-22,Language: English,"5 out of 5 stars
2 ratings"
Oneness vs. the 1%,"Shattering Illusions, Seeding Freedom",Narrated by: Tia Rider,,Length: 5 hrs and 15 mins,Release date: 09-14-20,Language: English,"5 out of 5 stars
181 ratings"
A History of Money and Banking in the United States: The Colonial Era to World War II,,Narrated by: Matthew Mezinskis,,Length: 13 hrs and 48 mins,Release date: 02-02-16,Language: English,"4.5 out of 5 stars
179 ratings"
How Successful People Think,"Change Your Thinking, Change Your Life",Narrated by: Chris Sorenson,Series: Successful People,Length: 3 hrs and 39 mins,Release date: 06-01-09,Language: English,"4.5 out of 5 stars
1,592 ratings"
